G,Name,U+,Style,Tags
,message-rounded-detail,e3a8,,
,message-rounded-detail-2,e3a7,,
,message-rounded-dots,e3aa,,
,message-rounded-dots-2,e3a9,,
,message-rounded-edit,e3ac,,
,message-rounded-edit-2,e3ab,,
,message-rounded-error,e3ae,,
,message-rounded-error-2,e3ad,,
,message-rounded-minus,e3b0,,
,message-rounded-minus-2,e3af,,
,message-rounded-x,e3b3,,
,message-rounded-x-2,e3b2,,
,message-square,e3c3,,
,message-square-2,e3b4,,
,message-square-add,e3b6,,
,message-square-add-2,e3b5,,
,message-square-check,e3b8,,
,message-square-check-2,e3b7,,
,message-square-detail,e3ba,,
,message-square-detail-2,e3b9,,
,message-square-dots,e3bc,,
,message-square-dots-2,e3bb,,
,message-square-edit,e3be,,
,message-square-edit-2,e3bd,,
,message-square-error,e3c0,,
,message-square-error-2,e3bf,,
,message-square-minus,e3c2,,
,message-square-minus-2,e3c1,,
,message-square-x,e3c5,,
,message-square-x-2,e3c4,,
,message-x,e3ca,,
,message-x-2,e3c7,,
,message-x-3,e3c8,,
,message-x-4,e3c9,,
,meteor,e3cc,,
,meteor-2,e3cb,,
,microchip,e3ce,,
,microchip-2,e3cd,,
,microphone,e3d3,,
,microphone-2,e3cf,,
,microphone-3,e3d0,,
,microphone-off,e3d2,,
,microphone-off-2,e3d1,,
,minus,e3d9,,
,minus-back,e3d4,,
,minus-circle,e3d6,,
,minus-circle-2,e3d5,,
,minus-front,e3d7,,
,minus-square,e3d8,,
,mobile,e3dd,,
,mobile-2,e3da,,
,mobile-3,e3db,,
,mobile-landscape,e3dc,,
,mobile-vibration,e3df,,
,mobile-vibration-2,e3de,,
,money,e3e0,,
,money-withdraw,e3e1,,
,moon,e3e3,,
,moon-2,e3e2,,
,mouse,e3e7,,
,mouse-2,e3e4,,
,mouse-3,e3e5,,
,mouse-4,e3e6,,
,move,e3e9,,
,move-horizontal,e3e8,,
,move-vertical,e3ea,,
,movie,e3ee,,
,movie-2,e3eb,,
,movie-play,e3ed,,
,movie-play-2,e3ec,,
,music,e3f0,,
,music-2,e3ef,,
,navigation,e3f2,,
,navigation-2,e3f1,,
,network-chart,e3f4,,
,network-chart-2,e3f3,,
,news,e3f6,,
,news-2,e3f5,,
,no-entry,e3f8,,
,no-entry-2,e3f7,,
,no-signal,e3f9,,
,note,e3fd,,
,note-2,e3fa,,
,notepad,e3fc,,
,notepad-2,e3fb,,
,notification,e401,,
,notification-2,e3fe,,
,notification-off,e400,,
,notification-off-2,e3ff,,
,objects-horizontal-center,e403,,
,objects-horizontal-center-2,e402,,
,objects-horizontal-left,e405,,
,objects-horizontal-left-2,e404,,
,objects-horizontal-right,e407,,
,objects-horizontal-right-2,e406,,
,objects-vertical-bottom,e409,,
,objects-vertical-bottom-2,e408,,
,objects-vertical-center,e40b,,
,objects-vertical-center-2,e40a,,
,objects-vertical-top,e40d,,
,objects-vertical-top-2,e40c,,
,offer,e40e,,
,outline,e40f,,
,package,e411,,
,package-2,e410,,
,paint,e415,,
,paint-2,e412,,
,paint-roll,e414,,
,paint-roll-2,e413,,
,palette,e417,,
,palette-2,e416,,
,paperclip,e418,,
,paper-plane,e41a,,
,paper-plane-2,e419,,
,paragraph,e41b,,
,parking,e41c,,
,party,e41e,,
,party-2,e41d,,
,paste,e420,,
,paste-2,e41f,,
,pause,e422,,
,pause-circle,e421,,
,pear,e423,,
,pen,e427,,
,pen-2,e424,,
,pencil,e426,,
,pencil-2,e425,,
,phone,e431,,
,phone-2,e428,,
,phone-call,e42a,,
,phone-call-2,e429,,
,phone-incoming,e42c,,
,phone-incoming-2,e42b,,
,phone-off,e42e,,
,phone-off-2,e42d,,
,phone-outgoing,e430,,
,phone-outgoing-2,e42f,,
,photo-album,e433,,
,photo-album-2,e432,,
,piano,e434,,
,pie-chart,e43a,,
,pie-chart-2,e436,,
,pie-chart-2-2,e435,,
,pie-chart-3,e437,,
,pie-chart-4,e438,,
,pie-chart-5,e439,,
,pin,e43c,,
,pin-2,e43b,,
,pizza,e43d,,
,plane,e440,,
,plane-2,e43e,,
,plane-land,e43f,,
,planet,e443,,
,planet-2,e441,,
,plane-take-off,e442,,
,play,e446,,
,play-circle,e444,,
,playlist,e445,,
,plug,e448,,
,plug-2,e447,,
,plus,e44d,,
,plus-circle,e44a,,
,plus-circle-2,e449,,
,plus-medical,e44b,,
,plus-square,e44c,,
,podcast,e44e,,
,pointer,e450,,
,pointer-2,e44f,,
