G,Name,U+,Style,Tags
,skip-4,e20a,,
,skip-5,e20b,,
,sliders,e20e,,
,sliders-3,e20d,,
,smiley,e210,,
,smiley-3,e20f,,
,sort-asc,e212,,
,sort-asc-3,e211,,
,sort-desc,e214,,
,sort-desc-3,e213,,
,sparkle,e216,,
,sparkle-3,e215,,
,sponsor-tiers,e218,,
,sponsor-tiers-3,e217,,
,square,e21c,,
,square-3,e219,,
,square-4,e21a,,
,square-5,e21b,,
,squirrel,e21e,,
,squirrel-3,e21d,,
,stack,e220,,
,stack-3,e21f,,
,star,e224,,
,star-3,e221,,
,star-4,e222,,
,star-5,e223,,
,stop,e226,,
,stop-3,e225,,
,stopwatch,e228,,
,stopwatch-3,e227,,
,strikethrough,e22a,,
,strikethrough-3,e229,,
,sun,e22c,,
,sun-3,e22b,,
,sync,e22e,,
,sync-3,e22d,,
,tab,e234,,
,tab-3,e22f,,
,tab-external,e231,,
,tab-external-3,e230,,
,table,e233,,
,table-3,e232,,
,tag,e236,,
,tag-3,e235,,
,tasklist,e238,,
,tasklist-3,e237,,
,telescope,e23c,,
,telescope-3,e239,,
,telescope-4,e23a,,
,telescope-5,e23b,,
,terminal,e23e,,
,terminal-3,e23d,,
,three-bars,e240,,
,three-bars-3,e23f,,
,thumbsdown,e242,,
,thumbsdown-3,e241,,
,thumbsup,e244,,
,thumbsup-3,e243,,
,tools,e246,,
,tools-3,e245,,
,tracked-by-closed-completed,e248,,
,tracked-by-closed-completed-3,e247,,
,tracked-by-closed-not-planned,e24a,,
,tracked-by-closed-not-planned-3,e249,,
,trash,e24c,,
,trash-3,e24b,,
,triangle-down,e24e,,
,triangle-down-3,e24d,,
,triangle-left,e250,,
,triangle-left-3,e24f,,
,triangle-right,e252,,
,triangle-right-3,e251,,
,triangle-up,e254,,
,triangle-up-3,e253,,
,trophy,e256,,
,trophy-3,e255,,
,typography,e258,,
,typography-3,e257,,
,undo,e25a,,
,undo-3,e259,,
,unfold,e25c,,
,unfold-3,e25b,,
,unlink,e25e,,
,unlink-3,e25d,,
,unlock,e260,,
,unlock-3,e25f,,
,unmute,e262,,
,unmute-3,e261,,
,unread,e264,,
,unread-3,e263,,
,unverified,e266,,
,unverified-3,e265,,
,upload,e268,,
,upload-3,e267,,
,verified,e26a,,
,verified-3,e269,,
,versions,e26c,,
,versions-3,e26b,,
,video,e26e,,
,video-3,e26d,,
,webhook,e26f,,
,workflow,e271,,
,workflow-3,e270,,
,x,e279,,
,x-2,e272,,
,x-3,e273,,
,x-4,e274,,
,x-5,e275,,
,x-6,e276,,
,x-7,e277,,
,x-8,e278,,
,zap,e27b,,
,zap-3,e27a,,
,zoom-in,e27d,,
,zoom-in-3,e27c,,
,zoom-out,e27f,,
,zoom-out-3,e27e,,
