G,Name,U+,Style,Tags
,list-restart,e31b,,
,list-start,e31c,,
,list-todo,e31e,,
,list-tree,e31f,,
,list-video,e320,,
,list-x,e321,,
,loader,e323,,
,loader-circle,e322,,
,locate,e326,,
,locate-fixed,e324,,
,locate-off,e325,,
,lock,e32a,,
,lock-keyhole,e328,,
,lock-keyhole-open,e327,,
,lock-open,e329,,
,log-in,e32b,,
,log-out,e32c,,
,lollipop,e32d,,
,luggage,e32e,,
,magnet,e32f,,
,mail,e338,,
,mailbox,e330,,
,mail-check,e331,,
,mail-minus,e332,,
,mail-open,e333,,
,mail-plus,e334,,
,mail-question,e335,,
,mails,e337,,
,mail-search,e336,,
,mail-warning,e339,,
,mail-x,e33a,,
,map,e33e,,
,map-pin,e33d,,
,map-pinned,e33b,,
,map-pin-off,e33c,,
,martini,e33f,,
,maximize,e341,,
,maximize-2,e340,,
,medal,e342,,
,megaphone,e344,,
,megaphone-off,e343,,
,meh,e345,,
,memory-stick,e346,,
,menu,e347,,
,merge,e348,,
,message-circle,e351,,
,message-circle-code,e349,,
,message-circle-dashed,e34a,,
,message-circle-heart,e34b,,
,message-circle-more,e34c,,
,message-circle-off,e34d,,
,message-circle-plus,e34e,,
,message-circle-question,e34f,,
,message-circle-reply,e350,,
,message-circle-warning,e352,,
,message-circle-x,e353,,
,message-square,e35f,,
,message-square-code,e354,,
,message-square-dashed,e355,,
,message-square-diff,e356,,
,message-square-dot,e357,,
,message-square-heart,e358,,
,message-square-more,e359,,
,message-square-off,e35a,,
,message-square-plus,e35b,,
,message-square-quote,e35c,,
,message-square-reply,e35d,,
,message-square-share,e35e,,
,message-square-text,e360,,
,message-square-warning,e361,,
,message-square-x,e362,,
,messages-square,e363,,
,mic,e367,,
,mic-off,e364,,
,microscope,e365,,
,microwave,e366,,
,mic-vocal,e368,,
,milestone,e369,,
,milk,e36b,,
,milk-off,e36a,,
,minimize,e36d,,
,minimize-2,e36c,,
,minus,e36e,,
,monitor,e378,,
,monitor-check,e36f,,
,monitor-dot,e370,,
,monitor-down,e371,,
,monitor-off,e372,,
,monitor-pause,e373,,
,monitor-play,e374,,
,monitor-smartphone,e375,,
,monitor-speaker,e376,,
,monitor-stop,e377,,
,monitor-up,e379,,
,monitor-x,e37a,,
,moon,e37c,,
,moon-star,e37b,,
,mountain,e37e,,
,mountain-snow,e37d,,
,mouse,e383,,
,mouse-off,e37f,,
,mouse-pointer,e382,,
,mouse-pointer-2,e380,,
,mouse-pointer-click,e381,,
,move,e38d,,
,move-3d,e384,,
,move-diagonal,e386,,
,move-diagonal-2,e385,,
,move-down,e389,,
,move-down-left,e387,,
,move-down-right,e388,,
,move-horizontal,e38a,,
,move-left,e38b,,
,move-right,e38c,,
,move-up,e390,,
,move-up-left,e38e,,
,move-up-right,e38f,,
,move-vertical,e391,,
,music,e395,,
,music-2,e392,,
,music-3,e393,,
,music-4,e394,,
,navigation,e399,,
,navigation-2,e397,,
,navigation-2-off,e396,,
,navigation-off,e398,,
,network,e39a,,
,newspaper,e39b,,
,nfc,e39c,,
,notebook,e39e,,
,notebook-pen,e39d,,
,notebook-tabs,e39f,,
,notebook-text,e3a0,,
,notepad-text,e3a2,,
,notepad-text-dashed,e3a1,,
,nut,e3a4,,
,nut-off,e3a3,,
,octagon,e3a7,,
,octagon-alert,e3a5,,
,octagon-pause,e3a6,,
,octagon-x,e3a8,,
,option,e3a9,,
,orbit,e3aa,,
,origami,e3ab,,
,package,e3b2,,
,package-2,e3ac,,
,package-check,e3ad,,
,package-minus,e3ae,,
,package-open,e3af,,
,package-plus,e3b0,,
,package-search,e3b1,,
,package-x,e3b3,,
,paintbrush,e3b5,,
,paintbrush-2,e3b4,,
,paint-bucket,e3b6,,
,paint-roller,e3b7,,
,palette,e3b8,,
,panel-bottom,e3bc,,
,panel-bottom-close,e3b9,,
,panel-bottom-dashed,e3ba,,
,panel-bottom-open,e3bb,,
,panel-left,e3c0,,
,panel-left-close,e3bd,,
,panel-left-dashed,e3be,,
,panel-left-open,e3bf,,
,panel-right,e3c4,,
,panel-right-close,e3c1,,
,panel-right-dashed,e3c2,,
,panel-right-open,e3c3,,
,panels-left-bottom,e3c5,,
,panels-right-bottom,e3c6,,
,panels-top-left,e3c7,,
,panel-top,e3cb,,
,panel-top-close,e3c8,,
,panel-top-dashed,e3c9,,
,panel-top-open,e3ca,,
,paperclip,e3cc,,
,parentheses,e3cd,,
,parking-meter,e3ce,,
,party-popper,e3cf,,
,pause,e3d0,,
,paw-print,e3d1,,
,pc-case,e3d2,,
,pen,e3d7,,
,pencil,e3d5,,
,pencil-line,e3d3,,
,pencil-ruler,e3d4,,
,pen-line,e3d6,,
,pentagon,e3d8,,
,pen-tool,e3d9,,
,percent,e3da,,
,person-standing,e3db,,
,phone,e3e2,,
,phone-call,e3dc,,
,phone-forwarded,e3dd,,
,phone-incoming,e3de,,
,phone-missed,e3df,,
,phone-off,e3e0,,
,phone-outgoing,e3e1,,
,pi,e3f0,,
,piano,e3e3,,
,pickaxe,e3e4,,
,picture-in-picture,e3e6,,
,picture-in-picture-2,e3e5,,
,pie-chart,e3e7,,
,piggy-bank,e3e8,,
,pilcrow,e3eb,,
,pilcrow-left,e3e9,,
,pilcrow-right,e3ea,,
,pill,e3ec,,
,pin,e3ee,,
,pin-off,e3ed,,
,pipette,e3ef,,
,pizza,e3f1,,
,plane,e3f3,,
,plane-landing,e3f2,,
,plane-takeoff,e3f4,,
,play,e3f5,,
,plug,e3f7,,
,plug-2,e3f6,,
,plug-zap,e3f9,,
,plug-zap-2,e3f8,,
,plus,e3fa,,
,pocket,e3fc,,
,pocket-knife,e3fb,,
,podcast,e3fd,,
,pointer,e3ff,,
,pointer-off,e3fe,,
,popcorn,e400,,
,popsicle,e401,,
,pound-sterling,e402,,
,power,e404,,
,power-off,e403,,
,presentation,e405,,
,printer,e406,,
,projector,e407,,
,proportions,e408,,
,puzzle,e409,,
,pyramid,e40a,,
,qr-code,e40b,,
,quote,e40c,,
,rabbit,e40d,,
,radar,e40e,,
,radiation,e40f,,
,radical,e410,,
,radio,e412,,
,radio-receiver,e411,,
,radio-tower,e413,,
,radius,e414,,
,rail-symbol,e415,,
,rainbow,e416,,
,rat,e418,,
,ratio,e417,,
,receipt,e41f,,
,receipt-cent,e419,,
,receipt-euro,e41a,,
,receipt-indian-rupee,e41b,,
,receipt-japanese-yen,e41c,,
,receipt-pound-sterling,e41d,,
,receipt-russian-ruble,e41e,,
,receipt-swiss-franc,e420,,
,receipt-text,e421,,
,rectangle-ellipsis,e422,,
,rectangle-horizontal,e423,,
,rectangle-vertical,e424,,
,recycle,e425,,
,redo,e428,,
,redo-2,e426,,
,redo-dot,e427,,
