G,Name,U+,Style,Tags
,ear,e1b6,,
,eject,e1b8,,
,eject-4,e1b7,,
,ellipses-bubble,e1ba,,
,ellipses-bubble-4,e1b9,,
,ellipsis,e1bd,,
,ellipsis-2,e1bb,,
,ellipsis-4,e1bc,,
,ellipsis-vertical,e1c0,,
,ellipsis-vertical-2,e1be,,
,ellipsis-vertical-4,e1bf,,
,envelope,e1c7,,
,envelope-2,e1c1,,
,envelope-4,e1c2,,
,envelope-badge,e1c4,,
,envelope-badge-4,e1c3,,
,envelope-open,e1c6,,
,envelope-open-4,e1c5,,
,equal,e1cc,,
,equal-2,e1c8,,
,equal-3,e1c9,,
,equal-4,e1ca,,
,equal-5,e1cb,,
,escape,e1cd,,
,exclamationmark,e1d8,,
,exclamationmark-2,e1ce,,
,exclamationmark-3,e1cf,,
,exclamationmark-4,e1d0,,
,exclamationmark-5,e1d1,,
,exclamationmark-bubble,e1d3,,
,exclamationmark-bubble-4,e1d2,,
,exclamationmark-octagon,e1d5,,
,exclamationmark-octagon-4,e1d4,,
,exclamationmark-shield,e1d7,,
,exclamationmark-shield-4,e1d6,,
,exclamationmark-triangle,e1da,,
,exclamationmark-triangle-4,e1d9,,
,expand,e1db,,
,eye,e1e3,,
,eye-4,e1dc,,
,eyedropper,e1df,,
,eyedropper-full,e1dd,,
,eyedropper-halffull,e1de,,
,eyeglasses,e1e0,,
,eye-slash,e1e2,,
,eye-slash-4,e1e1,,
,facemask,e1e5,,
,facemask-4,e1e4,,
,face-smiling,e1e7,,
,face-smiling-4,e1e6,,
,f-cursive,e1ea,,
,f-cursive-2,e1e8,,
,f-cursive-4,e1e9,,
,film,e1ec,,
,film-4,e1eb,,
,flag,e1f1,,
,flag-2,e1ed,,
,flag-4,e1ee,,
,flag-slash,e1f0,,
,flag-slash-4,e1ef,,
,flame,e1f3,,
,flame-4,e1f2,,
,floppy-disk,e1f4,,
,flowchart,e1f6,,
,flowchart-4,e1f5,,
,folder,e1ff,,
,folder-2,e1f7,,
,folder-4,e1f8,,
,folder-badge-minus,e1fa,,
,folder-badge-minus-4,e1f9,,
,folder-badge-person-crop,e1fc,,
,folder-badge-person-crop-4,e1fb,,
,folder-badge-plus,e1fe,,
,folder-badge-plus-4,e1fd,,
