G,Name,U+,Style,Tags
,more-horiz-2,e3a4,,
,more-vert,e3a7,,
,more-vert-2,e3a6,,
,motorcycle,e3a8,,
,mouse-button-left,e3a9,,
,mouse-button-right,e3aa,,
,mouse-scroll-wheel,e3ab,,
,movie,e3ac,,
,mpeg-format,e3ad,,
,multi-bubble,e3af,,
,multi-bubble-2,e3ae,,
,multi-mac-os-window,e3b0,,
,multiple-pages,e3b4,,
,multiple-pages-empty,e3b1,,
,multiple-pages-minus,e3b2,,
,multiple-pages-plus,e3b3,,
,multiple-pages-xmark,e3b5,,
,multi-window,e3b6,,
,music-double-note,e3b8,,
,music-double-note-plus,e3b7,,
,music-note,e3bc,,
,music-note-2,e3b9,,
,music-note-plus,e3bb,,
,music-note-plus-2,e3ba,,
,n,e3d3,,
,nav-arrow-down,e3bd,,
,nav-arrow-left,e3be,,
,nav-arrow-right,e3bf,,
,nav-arrow-up,e3c0,,
,navigator,e3c2,,
,navigator-2,e3c1,,
,neighbourhood,e3c3,,
,network,e3cb,,
,network-2,e3c4,,
,network-left,e3c6,,
,network-left-2,e3c5,,
,network-reverse,e3c8,,
,network-reverse-2,e3c7,,
,network-right,e3ca,,
,network-right-2,e3c9,,
,new-tab,e3cc,,
,nintendo-switch,e3cd,,
,non-binary,e3ce,,
,no-smoking,e3cf,,
,notes,e3d0,,
,npm,e3d2,,
,npm-2,e3d1,,
,number-0,e3d5,,
,number-0-2,e3d4,,
,number-1,e3d7,,
,number-1-2,e3d6,,
,number-2,e3d9,,
,number-2-2,e3d8,,
,number-3,e3db,,
,number-3-2,e3da,,
,number-4,e3dd,,
,number-4-2,e3dc,,
,number-5,e3df,,
,number-5-2,e3de,,
,number-6,e3e1,,
,number-6-2,e3e0,,
,number-7,e3e3,,
,number-7-2,e3e2,,
,number-8,e3e5,,
,number-8-2,e3e4,,
,number-9,e3e7,,
,number-9-2,e3e6,,
,numbered-list-left,e3e8,,
,numbered-list-right,e3e9,,
,o,e3fd,,
,octagon,e3ea,,
,off-tag,e3eb,,
,oil-industry,e3ec,,
,okrs,e3ed,,
,one-finger-select-hand-gesture,e3ee,,
,one-point,e3ef,,
,on-tag,e3f0,,
,open-book,e3f1,,
,open-in-browser,e3f2,,
,open-in-window,e3f3,,
,open-new-window,e3f4,,
,open-select-hand-gesture,e3f5,,
,open-vpn,e3f6,,
,orange-half,e3f7,,
,orange-slice,e3f9,,
,orange-slice-2,e3f8,,
,organic-food,e3fb,,
,organic-food-2,e3fa,,
,orthogonal-view,e3fc,,
,package,e400,,
,package-lock,e3fe,,
,packages,e3ff,,
,pacman,e401,,
,page,e40d,,
,page-down,e402,,
,page-edit,e403,,
,page-flip,e404,,
,page-left,e405,,
,page-minus,e407,,
,page-minus-in,e406,,
,page-plus,e409,,
,page-plus-in,e408,,
,page-right,e40a,,
,page-search,e40b,,
,page-star,e40c,,
,page-up,e40e,,
,palette,e40f,,
,panorama-enlarge,e410,,
,panorama-reduce,e411,,
,pants,e413,,
,pants-pockets,e412,,
,parking,e414,,
,password-check,e415,,
,password-cursor,e416,,
,password-xmark,e417,,
,paste-clipboard,e418,,
,path-arrow,e419,,
,pause,e41b,,
,pause-2,e41a,,
,pause-window,e41c,,
,paypal,e41d,,
,pc-check,e41e,,
,pc-firewall,e41f,,
,pc-mouse,e420,,
,pc-no-entry,e421,,
,pc-warning,e422,,
,peace-hand,e423,,
,peerlist,e424,,
